"","Year","Mother.s.Bridged.Race","Deaths","Births","Deaths.by.Births"
"1",2005,"Asian or Pacific Islander",1090,230468,4.72950691636149
"2",2005,"Hispanic",5300,968597,5.47183193836033
"3",2005,"Native American/Alaskan",277,44639,6.20533614104259
"4",2005,"Non-Hispanic Black",6510,580374,11.2169049612836
"5",2005,"Non-Hispanic White",10904,2274215,4.79462144080485
"6",2006,"Asian or Pacific Islander",1166,240413,4.84998731349802
"7",2006,"Hispanic",5361,1021337,5.24900204339998
"8",2006,"Native American/Alaskan",270,47555,5.67763642098623
"9",2006,"Non-Hispanic Black",6644,614047,10.8200186630665
"10",2006,"Non-Hispanic White",11081,2302894,4.81177162301
"11",2007,"Asian or Pacific Islander",1184,253761,4.66580759060691
"12",2007,"Hispanic",5461,1044316,5.22926010900915
"13",2007,"Native American/Alaskan",246,49282,4.99168053244592
"14",2007,"Non-Hispanic Black",6881,624022,11.0268548224261
"15",2007,"Non-Hispanic White",10981,2304532,4.7649587855582
"16",2008,"Asian or Pacific Islander",1175,252392,4.65545659133412
"17",2008,"Hispanic",5605,1022275,5.48286909099802
"18",2008,"Native American/Alaskan",301,49368,6.09706692594393
"19",2008,"Non-Hispanic Black",6804,620092,10.972565361269
"20",2008,"Non-Hispanic White",10819,2262009,4.7829164251778
"21",2009,"Asian or Pacific Islander",1146,250308,4.57835946114387
"22",2009,"Hispanic",5058,980293,5.15968185022233
"23",2009,"Native American/Alaskan",242,48518,4.98783956469764
"24",2009,"Non-Hispanic Black",6340,607006,10.444707301081
"25",2009,"Non-Hispanic White",10558,2206662,4.78460226350932
"26",2010,"Asian or Pacific Islander",1210,246070,4.91729995529727
"27",2010,"Hispanic",4716,927006,5.08734571297273
"28",2010,"Native American/Alaskan",235,46622,5.04053880142422
"29",2010,"Non-Hispanic Black",6371,587258,10.8487240701702
"30",2010,"Non-Hispanic White",10344,2156933,4.79569833648055
"31",2011,"Asian or Pacific Islander",1295,253049,5.11758592209414
"32",2011,"Hispanic",4648,898396,5.17366506529415
"33",2011,"Native American/Alaskan",260,46292,5.61652121316858
"34",2011,"Non-Hispanic Black",6346,579966,10.9420207391468
"35",2011,"Non-Hispanic White",10658,2141374,4.97717820427445
"36",2012,"Asian or Pacific Islander",1264,271808,4.65034141747116
"37",2012,"Hispanic",4710,888045,5.30378528115129
"38",2012,"Native American/Alaskan",296,45939,6.44332702061429
"39",2012,"Non-Hispanic Black",6257,581200,10.7656572608396
"40",2012,"Non-Hispanic White",10459,2128987,4.91266503740981
"41",2013,"Asian or Pacific Islander",1221,264604,4.61444271439585
"42",2013,"Hispanic",4588,881332,5.20575674093304
"43",2013,"Native American/Alaskan",276,45875,6.01634877384196
"44",2013,"Non-Hispanic Black",6170,581678,10.6072431826543
"45",2013,"Non-Hispanic White",10373,2124041,4.88361571174944
"46",2014,"Asian or Pacific Islander",1297,281638,4.60520242296849
"47",2014,"Hispanic",4608,894347,5.15236256173499
"48",2014,"Native American/Alaskan",289,44836,6.44571326612544
"49",2014,"Non-Hispanic Black",6325,586775,10.7792595117379
"50",2014,"Non-Hispanic White",10580,2144157,4.93434016259071
"51",2015,"Asian or Pacific Islander",1239,280046,4.42427315512452
"52",2015,"Hispanic",4612,903934,5.10214241305228
"53",2015,"Native American/Alaskan",265,44192,5.9965604634323
"54",2015,"Non-Hispanic Black",6408,586962,10.9172314391732
"55",2015,"Non-Hispanic White",10385,2125040,4.88696683356549
"56",2016,"Asian or Pacific Islander",1343,273735,4.90620490620491
"57",2016,"Hispanic",4658,876640,5.31346961124293
"58",2016,"Native American/Alaskan",272,37659,7.22270904697416
"59",2016,"Non-Hispanic Black",6354,556595,11.4158409615609
"60",2016,"Non-Hispanic White",10424,2051374,5.0814722230076
"61",2017,"Asian or Pacific Islander",1258,268825,4.67962429089556
"62",2017,"Hispanic",4412,855835,5.15519930827788
"63",2017,"Native American/Alaskan",284,36294,7.82498484598005
"64",2017,"Non-Hispanic Black",6088,558745,10.8958469427019
"65",2017,"Non-Hispanic White",9920,1987720,4.9906425452277
"66",2018,"Asian or Pacific Islander",1296,251509,5.15289711302578
"67",2018,"Hispanic",4384,851820,5.14662722171351
"68",2018,"Native American/Alaskan",234,36411,6.4266293153168
"69",2018,"Non-Hispanic Black",6016,549953,10.9391166154199
"70",2018,"Non-Hispanic White",9729,1951797,4.98463723430254
"71",2019,"Asian or Pacific Islander",1227,250671,4.89486218988236
"72",2019,"Native American/Alaskan",266,36308,7.32620909992288
