"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Jan., 2000"	"2000/01"	39	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	26	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	29	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	21	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	27	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	28	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	35	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	21	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	27	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	31	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	26	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	19	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			329	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	27	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	32	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	29	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	22	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	29	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	17	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	42	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	29	Not Applicable	Not Applicable
	"2001"	"2001"	"Sep., 2001"	"2001/09"	29	Not Applicable	Not Applicable
	"2001"	"2001"	"Oct., 2001"	"2001/10"	26	Not Applicable	Not Applicable
	"2001"	"2001"	"Nov., 2001"	"2001/11"	20	Not Applicable	Not Applicable
	"2001"	"2001"	"Dec., 2001"	"2001/12"	28	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			330	Not Applicable	Not Applicable
	"2002"	"2002"	"Jan., 2002"	"2002/01"	28	Not Applicable	Not Applicable
	"2002"	"2002"	"Feb., 2002"	"2002/02"	17	Not Applicable	Not Applicable
	"2002"	"2002"	"Mar., 2002"	"2002/03"	20	Not Applicable	Not Applicable
	"2002"	"2002"	"Apr., 2002"	"2002/04"	20	Not Applicable	Not Applicable
	"2002"	"2002"	"May, 2002"	"2002/05"	22	Not Applicable	Not Applicable
	"2002"	"2002"	"Jun., 2002"	"2002/06"	15	Not Applicable	Not Applicable
	"2002"	"2002"	"Jul., 2002"	"2002/07"	29	Not Applicable	Not Applicable
	"2002"	"2002"	"Aug., 2002"	"2002/08"	21	Not Applicable	Not Applicable
	"2002"	"2002"	"Sep., 2002"	"2002/09"	20	Not Applicable	Not Applicable
	"2002"	"2002"	"Oct., 2002"	"2002/10"	30	Not Applicable	Not Applicable
	"2002"	"2002"	"Nov., 2002"	"2002/11"	28	Not Applicable	Not Applicable
	"2002"	"2002"	"Dec., 2002"	"2002/12"	19	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			269	Not Applicable	Not Applicable
	"2003"	"2003"	"Jan., 2003"	"2003/01"	20	Not Applicable	Not Applicable
	"2003"	"2003"	"Feb., 2003"	"2003/02"	29	Not Applicable	Not Applicable
	"2003"	"2003"	"Mar., 2003"	"2003/03"	34	Not Applicable	Not Applicable
	"2003"	"2003"	"Apr., 2003"	"2003/04"	26	Not Applicable	Not Applicable
	"2003"	"2003"	"May, 2003"	"2003/05"	25	Not Applicable	Not Applicable
	"2003"	"2003"	"Jun., 2003"	"2003/06"	38	Not Applicable	Not Applicable
	"2003"	"2003"	"Jul., 2003"	"2003/07"	29	Not Applicable	Not Applicable
