"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Jan., 2000"	"2000/01"	47	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	30	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	33	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	25	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	34	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	32	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	41	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	27	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	31	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	36	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	30	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	25	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			391	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	35	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	40	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	31	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	31	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	30	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	21	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	45	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	35	Not Applicable	Not Applicable
	"2001"	"2001"	"Sep., 2001"	"2001/09"	35	Not Applicable	Not Applicable
	"2001"	"2001"	"Oct., 2001"	"2001/10"	31	Not Applicable	Not Applicable
	"2001"	"2001"	"Nov., 2001"	"2001/11"	25	Not Applicable	Not Applicable
	"2001"	"2001"	"Dec., 2001"	"2001/12"	32	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			391	Not Applicable	Not Applicable
	"2002"	"2002"	"Jan., 2002"	"2002/01"	37	Not Applicable	Not Applicable
	"2002"	"2002"	"Feb., 2002"	"2002/02"	23	Not Applicable	Not Applicable
	"2002"	"2002"	"Mar., 2002"	"2002/03"	22	Not Applicable	Not Applicable
	"2002"	"2002"	"Apr., 2002"	"2002/04"	31	Not Applicable	Not Applicable
	"2002"	"2002"	"May, 2002"	"2002/05"	27	Not Applicable	Not Applicable
	"2002"	"2002"	"Jun., 2002"	"2002/06"	23	Not Applicable	Not Applicable
	"2002"	"2002"	"Jul., 2002"	"2002/07"	37	Not Applicable	Not Applicable
	"2002"	"2002"	"Aug., 2002"	"2002/08"	28	Not Applicable	Not Applicable
	"2002"	"2002"	"Sep., 2002"	"2002/09"	27	Not Applicable	Not Applicable
	"2002"	"2002"	"Oct., 2002"	"2002/10"	36	Not Applicable	Not Applicable
	"2002"	"2002"	"Nov., 2002"	"2002/11"	33	Not Applicable	Not Applicable
	"2002"	"2002"	"Dec., 2002"	"2002/12"	26	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			350	Not Applicable	Not Applicable
	"2003"	"2003"	"Jan., 2003"	"2003/01"	29	Not Applicable	Not Applicable
	"2003"	"2003"	"Feb., 2003"	"2003/02"	41	Not Applicable	Not Applicable
	"2003"	"2003"	"Mar., 2003"	"2003/03"	41	Not Applicable	Not Applicable
	"2003"	"2003"	"Apr., 2003"	"2003/04"	37	Not Applicable	Not Applicable
	"2003"	"2003"	"May, 2003"	"2003/05"	36	Not Applicable	Not Applicable
	"2003"	"2003"	"Jun., 2003"	"2003/06"	50	Not Applicable	Not Applicable
	"2003"	"2003"	"Jul., 2003"	"2003/07"	38	Not Applicable	Not Applicable
	"2003"	"2003"	"Aug., 2003"	"2003/08"	41	Not Applicable	Not Applicable
	"2003"	"2003"	"Sep., 2003"	"2003/09"	33	Not Applicable	Not Applicable
	"2003"	"2003"	"Oct., 2003"	"2003/10"	34	Not Applicable	Not Applicable
	"2003"	"2003"	"Nov., 2003"	"2003/11"	35	Not Applicable	Not Applicable
	"2003"	"2003"	"Dec., 2003"	"2003/12"	49	Not Applicable	Not Applicable
"Total"	"2003"	"2003"			464	Not Applicable	Not Applicable
	"2004"	"2004"	"Jan., 2004"	"2004/01"	42	Not Applicable	Not Applicable
	"2004"	"2004"	"Feb., 2004"	"2004/02"	37	Not Applicable	Not Applicable
	"2004"	"2004"	"Mar., 2004"	"2004/03"	58	Not Applicable	Not Applicable
	"2004"	"2004"	"Apr., 2004"	"2004/04"	35	Not Applicable	Not Applicable
	"2004"	"2004"	"May, 2004"	"2004/05"	38	Not Applicable	Not Applicable
	"2004"	"2004"	"Jun., 2004"	"2004/06"	47	Not Applicable	Not Applicable
	"2004"	"2004"	"Jul., 2004"	"2004/07"	41	Not Applicable	Not Applicable
	"2004"	"2004"	"Aug., 2004"	"2004/08"	51	Not Applicable	Not Applicable
	"2004"	"2004"	"Sep., 2004"	"2004/09"	37	Not Applicable	Not Applicable
	"2004"	"2004"	"Oct., 2004"	"2004/10"	44	Not Applicable	Not Applicable
	"2004"	"2004"	"Nov., 2004"	"2004/11"	33	Not Applicable	Not Applicable
	"2004"	"2004"	"Dec., 2004"	"2004/12"	34	Not Applicable	Not Applicable
"Total"	"2004"	"2004"			497	Not Applicable	Not Applicable
	"2005"	"2005"	"Jan., 2005"	"2005/01"	63	Not Applicable	Not Applicable
	"2005"	"2005"	"Feb., 2005"	"2005/02"	43	Not Applicable	Not Applicable
	"2005"	"2005"	"Mar., 2005"	"2005/03"	48	Not Applicable	Not Applicable
	"2005"	"2005"	"Apr., 2005"	"2005/04"	44	Not Applicable	Not Applicable
	"2005"	"2005"	"May, 2005"	"2005/05"	40	Not Applicable	Not Applicable
	"2005"	"2005"	"Jun., 2005"	"2005/06"	40	Not Applicable	Not Applicable
	"2005"	"2005"	"Jul., 2005"	"2005/07"	50	Not Applicable	Not Applicable
	"2005"	"2005"	"Aug., 2005"	"2005/08"	46	Not Applicable	Not Applicable
	"2005"	"2005"	"Sep., 2005"	"2005/09"	44	Not Applicable	Not Applicable
	"2005"	"2005"	"Oct., 2005"	"2005/10"	43	Not Applicable	Not Applicable
	"2005"	"2005"	"Nov., 2005"	"2005/11"	54	Not Applicable	Not Applicable
	"2005"	"2005"	"Dec., 2005"	"2005/12"	63	Not Applicable	Not Applicable
"Total"	"2005"	"2005"			578	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	37	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	45	Not Applicable	Not Applicable
	"2006"	"2006"	"Mar., 2006"	"2006/03"	47	Not Applicable	Not Applicable
	"2006"	"2006"	"Apr., 2006"	"2006/04"	47	Not Applicable	Not Applicable
	"2006"	"2006"	"May, 2006"	"2006/05"	34	Not Applicable	Not Applicable
	"2006"	"2006"	"Jun., 2006"	"2006/06"	39	Not Applicable	Not Applicable
	"2006"	"2006"	"Jul., 2006"	"2006/07"	55	Not Applicable	Not Applicable
	"2006"	"2006"	"Aug., 2006"	"2006/08"	49	Not Applicable	Not Applicable
	"2006"	"2006"	"Sep., 2006"	"2006/09"	42	Not Applicable	Not Applicable
	"2006"	"2006"	"Oct., 2006"	"2006/10"	39	Not Applicable	Not Applicable
	"2006"	"2006"	"Nov., 2006"	"2006/11"	47	Not Applicable	Not Applicable
	"2006"	"2006"	"Dec., 2006"	"2006/12"	51	Not Applicable	Not Applicable
"Total"	"2006"	"2006"			532	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	42	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	36	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	57	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	48	Not Applicable	Not Applicable
	"2007"	"2007"	"May, 2007"	"2007/05"	37	Not Applicable	Not Applicable
