"Notes"	"Year"	"Year Code"	"State"	"State Code"	Births
	"2003"	"2003"	"Alabama"	"01"	59346
	"2003"	"2003"	"Alaska"	"02"	10049
	"2003"	"2003"	"Arizona"	"04"	90654
	"2003"	"2003"	"Arkansas"	"05"	37646
	"2003"	"2003"	"California"	"06"	539070
	"2003"	"2003"	"Colorado"	"08"	69104
	"2003"	"2003"	"Connecticut"	"09"	42735
	"2003"	"2003"	"Delaware"	"10"	11298
	"2003"	"2003"	"Florida"	"12"	211603
	"2003"	"2003"	"Georgia"	"13"	135562
	"2003"	"2003"	"Hawaii"	"15"	18047
	"2003"	"2003"	"Idaho"	"16"	21761
	"2003"	"2003"	"Illinois"	"17"	181968
	"2003"	"2003"	"Indiana"	"18"	86233
	"2003"	"2003"	"Iowa"	"19"	38108
	"2003"	"2003"	"Kansas"	"20"	39387
	"2003"	"2003"	"Kentucky"	"21"	55080
	"2003"	"2003"	"Louisiana"	"22"	64803
	"2003"	"2003"	"Maine"	"23"	13826
	"2003"	"2003"	"Maryland"	"24"	74675
	"2003"	"2003"	"Massachusetts"	"25"	79969
	"2003"	"2003"	"Michigan"	"26"	130774
	"2003"	"2003"	"Minnesota"	"27"	69882
	"2003"	"2003"	"Mississippi"	"28"	42203
	"2003"	"2003"	"Missouri"	"29"	76860
	"2003"	"2003"	"Montana"	"30"	11398
	"2003"	"2003"	"Nebraska"	"31"	25875
	"2003"	"2003"	"Nevada"	"32"	33527
	"2003"	"2003"	"New Hampshire"	"33"	14381
	"2003"	"2003"	"New Jersey"	"34"	116609
	"2003"	"2003"	"New Mexico"	"35"	27713
	"2003"	"2003"	"New York"	"36"	252801
	"2003"	"2003"	"North Carolina"	"37"	117968
	"2003"	"2003"	"North Dakota"	"38"	7950
	"2003"	"2003"	"Ohio"	"39"	149299
	"2003"	"2003"	"Oklahoma"	"40"	50854
	"2003"	"2003"	"Oregon"	"41"	45826
	"2003"	"2003"	"Pennsylvania"	"42"	145542
	"2003"	"2003"	"Rhode Island"	"44"	13171
	"2003"	"2003"	"South Carolina"	"45"	55471
	"2003"	"2003"	"South Dakota"	"46"	11007
	"2003"	"2003"	"Tennessee"	"47"	78660
	"2003"	"2003"	"Texas"	"48"	376152
	"2003"	"2003"	"Utah"	"49"	49792
	"2003"	"2003"	"Vermont"	"50"	6574
	"2003"	"2003"	"Virginia"	"51"	100959
	"2003"	"2003"	"Washington"	"53"	80250
	"2003"	"2003"	"West Virginia"	"54"	20882
	"2003"	"2003"	"Wisconsin"	"55"	69885
	"2003"	"2003"	"Wyoming"	"56"	6684
"Total"	"2003"	"2003"			4069873
	"2004"	"2004"	"Alabama"	"01"	59306
	"2004"	"2004"	"Alaska"	"02"	10305
	"2004"	"2004"	"Arizona"	"04"	93376
	"2004"	"2004"	"Arkansas"	"05"	38443
	"2004"	"2004"	"California"	"06"	542964
	"2004"	"2004"	"Colorado"	"08"	68290
	"2004"	"2004"	"Connecticut"	"09"	41949
	"2004"	"2004"	"Delaware"	"10"	11333
	"2004"	"2004"	"Florida"	"12"	217321
	"2004"	"2004"	"Georgia"	"13"	138401
	"2004"	"2004"	"Hawaii"	"15"	18225
	"2004"	"2004"	"Idaho"	"16"	22486
	"2004"	"2004"	"Illinois"	"17"	180180
	"2004"	"2004"	"Indiana"	"18"	86960
	"2004"	"2004"	"Iowa"	"19"	38376
	"2004"	"2004"	"Kansas"	"20"	39576
	"2004"	"2004"	"Kentucky"	"21"	55587
	"2004"	"2004"	"Louisiana"	"22"	65131
	"2004"	"2004"	"Maine"	"23"	13919
	"2004"	"2004"	"Maryland"	"24"	74362
	"2004"	"2004"	"Massachusetts"	"25"	78261
	"2004"	"2004"	"Michigan"	"26"	129390
	"2004"	"2004"	"Minnesota"	"27"	70441
	"2004"	"2004"	"Mississippi"	"28"	42621
	"2004"	"2004"	"Missouri"	"29"	77537
	"2004"	"2004"	"Montana"	"30"	11496
	"2004"	"2004"	"Nebraska"	"31"	26283
	"2004"	"2004"	"Nevada"	"32"	35090
	"2004"	"2004"	"New Hampshire"	"33"	14542
	"2004"	"2004"	"New Jersey"	"34"	114856
