"Notes"	"Standard Residence Census Region"	"Standard Residence Census Region Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Year"	"Year Code"	"Month"	"Month Code"	Fetal Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"25-29 years"	"25-29"	"2018"	"2018"	"April"	"4"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"25-29 years"	"25-29"	"2020"	"2020"	"February"	"2"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"30-34 years"	"30-34"	"2018"	"2018"	"June"	"6"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"30-34 years"	"30-34"	"2018"	"2018"	"August"	"8"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"30-34 years"	"30-34"	"2018"	"2018"	"September"	"9"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"30-34 years"	"30-34"	"2019"	"2019"	"October"	"10"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"30-34 years"	"30-34"	"2020"	"2020"	"February"	"2"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"30-34 years"	"30-34"	"2020"	"2020"	"July"	"7"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"30-34 years"	"30-34"	"2020"	"2020"	"December"	"12"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"30-34 years"	"30-34"	"2021"	"2021"	"February"	"2"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"30-34 years"	"30-34"	"2021"	"2021"	"October"	"10"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"35-39 years"	"35-39"	"2019"	"2019"	"September"	"9"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"2018"	"2018"	"October"	"10"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"2019"	"2019"	"August"	"8"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"January"	"1"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"February"	"2"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"March"	"3"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"April"	"4"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"May"	"5"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"June"	"6"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"July"	"7"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"August"	"8"	14
