"Notes"	"Census Region"	"Census Region Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Single Race 6"	"Single Race 6 Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"2019"	"2019"	11	558491	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"20-24 years"	"20-24"	"White"	"2106-3"	"2018"	"2018"	22	2687433	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"20-24 years"	"20-24"	"White"	"2106-3"	"2019"	"2019"	28	2635447	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021 "	"2021"	17	2613555	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-29 years"	"25-29"	"Black or African American"	"2054-5"	"2018"	"2018"	16	649279	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-29 years"	"25-29"	"Black or African American"	"2054-5"	"2019"	"2019"	16	644798	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-29 years"	"25-29"	"Black or African American"	"2054-5"	"2020"	"2020"	12	630274	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-29 years"	"25-29"	"White"	"2106-3"	"2018"	"2018"	44	2819516	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"25-29 years"	"25-29"	"White"	"2106-3"	"2019"	"2019"	38	2796575	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"25-29 years"	"25-29"	"White"	"2106-3"	"2020"	"2020"	17	2755978	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021 "	"2021"	23	2707361	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"30-34 years"	"30-34"	"Black or African American"	"2054-5"	"2019"	"2019"	26	566072	4.6
	"Census Region 1: Northeast"	"CENS-R1"	"30-34 years"	"30-34"	"Black or African American"	"2054-5"	"2020"	"2020"	14	589435	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"30-34 years"	"30-34"	"Black or African American"	"2054-5"	"2021 "	"2021"	23	619321	3.7
	"Census Region 1: Northeast"	"CENS-R1"	"30-34 years"	"30-34"	"White"	"2106-3"	"2018"	"2018"	49	2761860	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"30-34 years"	"30-34"	"White"	"2106-3"	"2019"	"2019"	51	2775163	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"30-34 years"	"30-34"	"White"	"2106-3"	"2020"	"2020"	31	2787702	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021 "	"2021"	23	2825991	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"35-39 years"	"35-39"	"Black or African American"	"2054-5"	"2018"	"2018"	21	501570	4.2
	"Census Region 1: Northeast"	"CENS-R1"	"35-39 years"	"35-39"	"Black or African American"	"2054-5"	"2019"	"2019"	21	501889	4.2
	"Census Region 1: Northeast"	"CENS-R1"	"35-39 years"	"35-39"	"Black or African American"	"2054-5"	"2020"	"2020"	12	503479	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-39 years"	"35-39"	"Black or African American"	"2054-5"	"2021 "	"2021"	17	530097	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-39 years"	"35-39"	"White"	"2106-3"	"2018"	"2018"	33	2620011	1.3
