"Notes"	"Census Region"	"Census Region Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2007"	"2007"	"15-19 years"	"15-19"	50283	1930373	26.05
	"Census Region 1: Northeast"	"CENS-R1"	"2007"	"2007"	"20-24 years"	"20-24"	136134	1800783	75.60
	"Census Region 1: Northeast"	"CENS-R1"	"2007"	"2007"	"25-29 years"	"25-29"	183217	1760604	104.06
	"Census Region 1: Northeast"	"CENS-R1"	"2007"	"2007"	"30-34 years"	"30-34"	183725	1677059	109.55
	"Census Region 1: Northeast"	"CENS-R1"	"2007"	"2007"	"35-39 years"	"35-39"	107152	1934857	55.38
	"Census Region 1: Northeast"	"CENS-R1"	"2007"	"2007"	"40-44 years"	"40-44"	24042	2114984	11.37
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2007"	"2007"			684553	11218660	61.02
	"Census Region 1: Northeast"	"CENS-R1"	"2008"	"2008"	"15-19 years"	"15-19"	49011	1930948	25.38
	"Census Region 1: Northeast"	"CENS-R1"	"2008"	"2008"	"20-24 years"	"20-24"	134120	1821887	73.62
	"Census Region 1: Northeast"	"CENS-R1"	"2008"	"2008"	"25-29 years"	"25-29"	180231	1790084	100.68
	"Census Region 1: Northeast"	"CENS-R1"	"2008"	"2008"	"30-34 years"	"30-34"	181487	1682865	107.84
	"Census Region 1: Northeast"	"CENS-R1"	"2008"	"2008"	"35-39 years"	"35-39"	104224	1886900	55.24
	"Census Region 1: Northeast"	"CENS-R1"	"2008"	"2008"	"40-44 years"	"40-44"	24046	2063660	11.65
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2008"	"2008"			673119	11176344	60.23
	"Census Region 1: Northeast"	"CENS-R1"	"2009"	"2009"	"15-19 years"	"15-19"	45907	1919120	23.92
	"Census Region 1: Northeast"	"CENS-R1"	"2009"	"2009"	"20-24 years"	"20-24"	130177	1858289	70.05
	"Census Region 1: Northeast"	"CENS-R1"	"2009"	"2009"	"25-29 years"	"25-29"	177629	1806981	98.30
	"Census Region 1: Northeast"	"CENS-R1"	"2009"	"2009"	"30-34 years"	"30-34"	182887	1707179	107.13
	"Census Region 1: Northeast"	"CENS-R1"	"2009"	"2009"	"35-39 years"	"35-39"	100061	1832098	54.62
	"Census Region 1: Northeast"	"CENS-R1"	"2009"	"2009"	"40-44 years"	"40-44"	24115	2008600	12.01
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2009"	"2009"			660776	11132267	59.36
	"Census Region 1: Northeast"	"CENS-R1"	"2010"	"2010"	"15-19 years"	"15-19"	41992	1898710	22.12
	"Census Region 1: Northeast"	"CENS-R1"	"2010"	"2010"	"20-24 years"	"20-24"	125073	1885969	66.32
	"Census Region 1: Northeast"	"CENS-R1"	"2010"	"2010"	"25-29 years"	"25-29"	172965	1816845	95.20
	"Census Region 1: Northeast"	"CENS-R1"	"2010"	"2010"	"30-34 years"	"30-34"	184116	1725791	106.68
	"Census Region 1: Northeast"	"CENS-R1"	"2010"	"2010"	"35-39 years"	"35-39"	97952	1784767	54.88
	"Census Region 1: Northeast"	"CENS-R1"	"2010"	"2010"	"40-44 years"	"40-44"	23976	1983663	12.09
